nombre_entidad,CVE_ENT,nombre_municipio,CVE_MUN,sexo,grupo_edad,poblacion_total,total_limitacion,caminar_moverse,ver,escuchar,hablar,atender_cuidadop,poner_atencion,mental,sin_limitacion,no_especifica
09 Distrito Federal,09,002 Azcapotzalco,002,Mujeres,70-74 años,6223,1074,799,269,98,24,53,9,28,5102,47
09 Distrito Federal,09,002 Azcapotzalco,002,Mujeres,75-79 años,4314,1014,788,239,137,38,73,36,26,3271,29
09 Distrito Federal,09,002 Azcapotzalco,002,Mujeres,80-84 años,3061,941,698,200,180,35,64,26,46,2101,19
09 Distrito Federal,09,002 Azcapotzalco,002,Mujeres,85 años y más,2738,1133,878,277,244,57,179,57,60,1579,26
09 Distrito Federal,09,002 Azcapotzalco,002,Mujeres,No especificado,4801,5,4,0,1,0,1,0,1,54,4742
09 Distrito Federal,09,014 Benito Juárez,014,Total,Total,385439,14307,8679,3481,2028,998,1097,673,1533,340830,30302
09 Distrito Federal,09,014 Benito Juárez,014,Total,00-04 años,17974,107,38,8,13,39,10,15,32,17557,310
09 Distrito Federal,09,014 Benito Juárez,014,Total,05-09 años,17177,217,53,27,17,64,23,45,63,16725,235
09 Distrito Federal,09,014 Benito Juárez,014,Total,10-14 años,17494,230,60,44,27,45,20,41,72,17026,238
09 Distrito Federal,09,014 Benito Juárez,014,Total,15-19 años,21033,300,79,66,36,63,32,39,104,20484,249
09 Distrito Federal,09,014 Benito Juárez,014,Total,20-24 años,25768,289,84,81,24,29,10,31,99,25175,304
09 Distrito Federal,09,014 Benito Juárez,014,Total,25-29 años,31893,307,74,105,23,26,16,29,89,31097,489
09 Distrito Federal,09,014 Benito Juárez,014,Total,30-34 años,34636,390,138,133,34,29,20,23,80,33726,520
09 Distrito Federal,09,014 Benito Juárez,014,Total,35-39 años,33107,434,181,133,39,37,26,27,85,32177,496
09 Distrito Federal,09,014 Benito Juárez,014,Total,40-44 años,27443,513,209,136,56,54,27,29,113,26535,395
09 Distrito Federal,09,014 Benito Juárez,014,Total,45-49 años,25551,629,309,199,47,36,20,26,93,24597,325
09 Distrito Federal,09,014 Benito Juárez,014,Total,50-54 años,25766,902,460,262,79,44,46,28,123,24559,305
09 Distrito Federal,09,014 Benito Juárez,014,Total,55-59 años,21164,921,560,244,86,55,38,19,56,20054,189
09 Distrito Federal,09,014 Benito Juárez,014,Total,60-64 años,17692,1085,678,269,115,71,53,25,74,16414,193
09 Distrito Federal,09,014 Benito Juárez,014,Total,65-69 años,12553,1131,779,251,113,51,62,24,61,11310,112
09 Distrito Federal,09,014 Benito Juárez,014,Total,70-74 años,10388,1420,996,327,188,52,73,30,41,8862,106
09 Distrito Federal,09,014 Benito Juárez,014,Total,75-79 años,8018,1486,1055,331,235,60,99,41,69,6474,58
09 Distrito Federal,09,014 Benito Juárez,014,Total,80-84 años,6276,1651,1197,339,325,86,155,63,102,4582,43
09 Distrito Federal,09,014 Benito Juárez,014,Total,85 años y más,5680,2288,1725,523,570,156,366,138,175,3349,43
09 Distrito Federal,09,014 Benito Juárez,014,Total,No especificado,25826,7,4,3,1,1,1,0,2,127,25692
09 Distrito Federal,09,014 Benito Juárez,014,Hombres,Total,176410,5332,2717,1390,792,459,339,280,731,156085,14993
09 Distrito Federal,09,014 Benito Juárez,014,Hombres,00-04 años,9066,67,17,3,9,27,5,10,23,8846,153
09 Distrito Federal,09,014 Benito Juárez,014,Hombres,05-09 años,8737,142,26,17,9,45,14,36,42,8466,129
09 Distrito Federal,09,014 Benito Juárez,014,Hombres,10-14 años,8863,145,33,28,15,28,10,28,48,8598,120
09 Distrito Federal,09,014 Benito Juárez,014,Hombres,15-19 años,10404,172,46,32,17,33,18,25,59,10101,131
09 Distrito Federal,09,014 Benito Juárez,014,Hombres,20-24 años,12528,151,49,41,7,15,6,15,54,12237,140
09 Distrito Federal,09,014 Benito Juárez,014,Hombres,25-29 años,14722,156,35,44,13,14,6,15,50,14369,197
09 Distrito Federal,09,014 Benito Juárez,014,Hombres,30-34 años,16344,195,59,71,14,23,9,11,45,15880,269
09 Distrito Federal,09,014 Benito Juárez,014,Hombres,35-39 años,15516,214,83,70,18,14,15,12,50,15059,243
09 Distrito Federal,09,014 Benito Juárez,014,Hombres,40-44 años,12745,233,83,66,26,25,11,10,55,12324,188
09 Distrito Federal,09,014 Benito Juárez,014,Hombres,45-49 años,11365,272,113,93,27,18,10,13,44,10955,138
09 Distrito Federal,09,014 Benito Juárez,014,Hombres,50-54 años,11197,363,154,110,35,17,14,11,63,10692,142
09 Distrito Federal,09,014 Benito Juárez,014,Hombres,55-59 años,9207,359,184,107,44,26,13,7,30,8764,84
09 Distrito Federal,09,014 Benito Juárez,014,Hombres,60-64 años,7382,393,221,108,48,33,18,11,30,6904,85
09 Distrito Federal,09,014 Benito Juárez,014,Hombres,65-69 años,5072,430,262,114,55,21,23,9,27,4595,47
09 Distrito Federal,09,014 Benito Juárez,014,Hombres,70-74 años,3784,477,296,121,86,19,17,6,15,3274,33
09 Distrito Federal,09,014 Benito Juárez,014,Hombres,75-79 años,2850,484,309,114,103,25,31,10,23,2341,25
09 Distrito Federal,09,014 Benito Juárez,014,Hombres,80-84 años,1995,461,302,113,107,32,40,14,27,1520,14
09 Distrito Federal,09,014 Benito Juárez,014,Hombres,85 años y más,1736,616,443,137,158,43,78,37,45,1108,12
09 Distrito Federal,09,014 Benito Juárez,014,Hombres,No especificado,12897,2,2,1,1,1,1,0,1,52,12843
09 Distrito Federal,09,014 Benito Juárez,014,Mujeres,Total,209029,8975,5962,2091,1236,539,758,393,802,184745,15309
09 Distrito Federal,09,014 Benito Juárez,014,Mujeres,00-04 años,8908,40,21,5,4,12,5,5,9,8711,157
09 Distrito Federal,09,014 Benito Juárez,014,Mujeres,05-09 años,8440,75,27,10,8,19,9,9,21,8259,106
09 Distrito Federal,09,014 Benito Juárez,014,Mujeres,10-14 años,8631,85,27,16,12,17,10,13,24,8428,118
09 Distrito Federal,09,014 Benito Juárez,014,Mujeres,15-19 años,10629,128,33,34,19,30,14,14,45,10383,118
09 Distrito Federal,09,014 Benito Juárez,014,Mujeres,20-24 años,13240,138,35,40,17,14,4,16,45,12938,164
09 Distrito Federal,09,014 Benito Juárez,014,Mujeres,25-29 años,17171,151,39,61,10,12,10,14,39,16728,292
09 Distrito Federal,09,014 Benito Juárez,014,Mujeres,30-34 años,18292,195,79,62,20,6,11,12,35,17846,251
09 Distrito Federal,09,014 Benito Juárez,014,Mujeres,35-39 años,17591,220,98,63,21,23,11,15,35,17118,253
09 Distrito Federal,09,014 Benito Juárez,014,Mujeres,40-44 años,14698,280,126,70,30,29,16,19,58,14211,207
09 Distrito Federal,09,014 Benito Juárez,014,Mujeres,45-49 años,14186,357,196,106,20,18,10,13,49,13642,187
09 Distrito Federal,09,014 Benito Juárez,014,Mujeres,50-54 años,14569,539,306,152,44,27,32,17,60,13867,163
09 Distrito Federal,09,014 Benito Juárez,014,Mujeres,55-59 años,11957,562,376,137,42,29,25,12,26,11290,105
09 Distrito Federal,09,014 Benito Juárez,014,Mujeres,60-64 años,10310,692,457,161,67,38,35,14,44,9510,108
09 Distrito Federal,09,014 Benito Juárez,014,Mujeres,65-69 años,7481,701,517,137,58,30,39,15,34,6715,65
09 Distrito Federal,09,014 Benito Juárez,014,Mujeres,70-74 años,6604,943,700,206,102,33,56,24,26,5588,73
09 Distrito Federal,09,014 Benito Juárez,014,Mujeres,75-79 años,5168,1002,746,217,132,35,68,31,46,4133,33
09 Distrito Federal,09,014 Benito Juárez,014,Mujeres,80-84 años,4281,1190,895,226,218,54,115,49,75,3062,29
09 Distrito Federal,09,014 Benito Juárez,014,Mujeres,85 años y más,3944,1672,1282,386,412,113,288,101,130,2241,31
09 Distrito Federal,09,014 Benito Juárez,014,Mujeres,No especificado,12929,5,2,2,0,0,0,0,1,75,12849
09 Distrito Federal,09,003 Coyoacán,003,Total,Total,620416,28572,15553,8251,3261,1904,1638,1285,3422,565400,26444
09 Distrito Federal,09,003 Coyoacán,003,Total,00-04 años,34713,340,146,30,18,104,87,32,76,33828,545
09 Distrito Federal,09,003 Coyoacán,003,Total,05-09 años,38663,743,175,150,39,207,61,134,187,37621,299
09 Distrito Federal,09,003 Coyoacán,003,Total,10-14 años,40515,774,175,209,55,133,55,146,220,39453,288
09 Distrito Federal,09,003 Coyoacán,003,Total,15-19 años,45845,816,192,264,64,108,50,109,230,44739,290
09 Distrito Federal,09,003 Coyoacán,003,Total,20-24 años,50203,866,209,337,63,91,40,74,221,49012,325
09 Distrito Federal,09,003 Coyoacán,003,Total,25-29 años,49918,924,273,308,72,106,38,59,245,48677,317
09 Distrito Federal,09,003 Coyoacán,003,Total,30-34 años,47627,976,304,316,63,78,35,64,255,46353,298
09 Distrito Federal,09,003 Coyoacán,003,Total,35-39 años,49306,1301,496,404,97,104,56,72,296,47728,277
09 Distrito Federal,09,003 Coyoacán,003,Total,40-44 años,42971,1395,578,386,118,109,42,49,302,41327,249
09 Distrito Federal,09,003 Coyoacán,003,Total,45-49 años,38869,1568,722,506,140,85,59,49,238,37080,221
09 Distrito Federal,09,003 Coyoacán,003,Total,50-54 años,38531,1960,1001,645,136,87,62,46,224,36341,230
09 Distrito Federal,09,003 Coyoacán,003,Total,55-59 años,33252,2265,1250,804,189,85,76,38,145,30824,163
09 Distrito Federal,09,003 Coyoacán,003,Total,60-64 años,28213,2514,1552,817,241,73,80,42,131,25544,155
09 Distrito Federal,09,003 Coyoacán,003,Total,65-69 años,20128,2543,1682,750,266,93,108,52,107,17466,119
09 Distrito Federal,09,003 Coyoacán,003,Total,70-74 años,14981,2405,1664,637,286,105,114,52,88,12481,95
09 Distrito Federal,09,003 Coyoacán,003,Total,75-79 años,10451,2244,1628,506,361,82,131,59,94,8135,72
09 Distrito Federal,09,003 Coyoacán,003,Total,80-84 años,7307,2203,1575,519,425,102,154,62,110,5041,63
09 Distrito Federal,09,003 Coyoacán,003,Total,85 años y más,6189,2618,1921,662,627,152,388,146,148,3537,34
09 Distrito Federal,09,003 Coyoacán,003,Total,No especificado,22734,117,10,1,1,0,2,0,105,213,22404
09 Distrito Federal,09,003 Coyoacán,003,Hombres,Total,292491,12905,6204,3699,1617,1010,691,637,1889,266492,13094
09 Distrito Federal,09,003 Coyoacán,003,Hombres,00-04 años,17780,184,69,14,14,63,49,18,36,17336,260
09 Distrito Federal,09,003 Coyoacán,003,Hombres,05-09 años,19796,424,99,66,22,137,37,84,109,19233,139
09 Distrito Federal,09,003 Coyoacán,003,Hombres,10-14 años,20495,438,96,120,28,71,31,87,123,19911,146
09 Distrito Federal,09,003 Coyoacán,003,Hombres,15-19 años,23067,451,107,129,29,63,33,68,140,22464,152
09 Distrito Federal,09,003 Coyoacán,003,Hombres,20-24 años,24619,457,110,168,28,45,19,39,119,23996,166
09 Distrito Federal,09,003 Coyoacán,003,Hombres,25-29 años,24199,512,172,145,40,56,23,30,145,23527,160
09 Distrito Federal,09,003 Coyoacán,003,Hombres,30-34 años,22487,546,164,162,40,52,20,38,152,21789,152
09 Distrito Federal,09,003 Coyoacán,003,Hombres,35-39 años,22878,716,265,209,55,62,28,34,182,22041,121
09 Distrito Federal,09,003 Coyoacán,003,Hombres,40-44 años,19744,749,282,201,59,58,23,23,189,18886,109
09 Distrito Federal,09,003 Coyoacán,003,Hombres,45-49 años,17507,808,336,256,73,46,31,25,156,16597,102
09 Distrito Federal,09,003 Coyoacán,003,Hombres,50-54 años,16835,901,410,289,69,47,31,25,142,15832,102
09 Distrito Federal,09,003 Coyoacán,003,Hombres,55-59 años,14633,1014,515,365,94,41,31,13,87,13546,73
09 Distrito Federal,09,003 Coyoacán,003,Hombres,60-64 años,12632,1087,600,379,130,48,36,25,75,11490,55
09 Distrito Federal,09,003 Coyoacán,003,Hombres,65-69 años,8953,1104,649,343,154,37,45,17,60,7799,50
09 Distrito Federal,09,003 Coyoacán,003,Hombres,70-74 años,6357,971,599,262,164,57,41,21,46,5350,36
09 Distrito Federal,09,003 Coyoacán,003,Hombres,75-79 años,4309,884,609,189,175,35,53,19,51,3389,36
09 Distrito Federal,09,003 Coyoacán,003,Hombres,80-84 años,2755,800,533,182,198,41,51,24,40,1932,23
09 Distrito Federal,09,003 Coyoacán,003,Hombres,85 años y más,2138,854,585,220,245,51,108,47,36,1274,10
09 Distrito Federal,09,003 Coyoacán,003,Hombres,No especificado,11307,5,4,0,0,0,1,0,1,100,11202
09 Distrito Federal,09,003 Coyoacán,003,Mujeres,Total,327925,15667,9349,4552,1644,894,947,648,1533,298908,13350
09 Distrito Federal,09,003 Coyoacán,003,Mujeres,00-04 años,16933,156,77,16,4,41,38,14,40,16492,285
09 Distrito Federal,09,003 Coyoacán,003,Mujeres,05-09 años,18867,319,76,84,17,70,24,50,78,18388,160
09 Distrito Federal,09,003 Coyoacán,003,Mujeres,10-14 años,20020,336,79,89,27,62,24,59,97,19542,142
09 Distrito Federal,09,003 Coyoacán,003,Mujeres,15-19 años,22778,365,85,135,35,45,17,41,90,22275,138
09 Distrito Federal,09,003 Coyoacán,003,Mujeres,20-24 años,25584,409,99,169,35,46,21,35,102,25016,159
