entidad_federativa,CVE_MUN,municipio,sexo,grupos_edad,poblacion,lengua_indigena,nolengua_indigena
30 Veracruz de Ignacio de la Llave,006,006 Acultzingo,Hombres,60-64 años,225,58,167
30 Veracruz de Ignacio de la Llave,006,006 Acultzingo,Hombres,65 años y más,638,176,461
30 Veracruz de Ignacio de la Llave,006,006 Acultzingo,Mujeres,03-04 años,452,43,405
30 Veracruz de Ignacio de la Llave,006,006 Acultzingo,Mujeres,05-09 años,1243,143,1097
30 Veracruz de Ignacio de la Llave,006,006 Acultzingo,Mujeres,10-14 años,1195,139,1053
30 Veracruz de Ignacio de la Llave,006,006 Acultzingo,Mujeres,15-19 años,1188,144,1043
30 Veracruz de Ignacio de la Llave,006,006 Acultzingo,Mujeres,20-24 años,985,156,826
30 Veracruz de Ignacio de la Llave,006,006 Acultzingo,Mujeres,25-29 años,861,151,709
30 Veracruz de Ignacio de la Llave,006,006 Acultzingo,Mujeres,30-34 años,728,142,583
30 Veracruz de Ignacio de la Llave,006,006 Acultzingo,Mujeres,35-39 años,659,138,520
30 Veracruz de Ignacio de la Llave,006,006 Acultzingo,Mujeres,40-44 años,594,145,447
30 Veracruz de Ignacio de la Llave,006,006 Acultzingo,Mujeres,45-49 años,446,92,354
30 Veracruz de Ignacio de la Llave,006,006 Acultzingo,Mujeres,50-54 años,394,92,302
30 Veracruz de Ignacio de la Llave,006,006 Acultzingo,Mujeres,55-59 años,300,72,227
30 Veracruz de Ignacio de la Llave,006,006 Acultzingo,Mujeres,60-64 años,245,49,196
30 Veracruz de Ignacio de la Llave,006,006 Acultzingo,Mujeres,65 años y más,665,171,494
30 Veracruz de Ignacio de la Llave,204,204 Agua Dulce,Total,03-04 años,1585,2,1564
30 Veracruz de Ignacio de la Llave,204,204 Agua Dulce,Total,05-09 años,4165,4,4146
30 Veracruz de Ignacio de la Llave,204,204 Agua Dulce,Total,10-14 años,4525,8,4505
30 Veracruz de Ignacio de la Llave,204,204 Agua Dulce,Total,15-19 años,4268,11,4251
30 Veracruz de Ignacio de la Llave,204,204 Agua Dulce,Total,20-24 años,3723,9,3705
30 Veracruz de Ignacio de la Llave,204,204 Agua Dulce,Total,25-29 años,3371,16,3345
30 Veracruz de Ignacio de la Llave,204,204 Agua Dulce,Total,30-34 años,3195,22,3169
30 Veracruz de Ignacio de la Llave,204,204 Agua Dulce,Total,35-39 años,3210,12,3192
30 Veracruz de Ignacio de la Llave,204,204 Agua Dulce,Total,40-44 años,3139,23,3115
30 Veracruz de Ignacio de la Llave,204,204 Agua Dulce,Total,45-49 años,2607,32,2572
30 Veracruz de Ignacio de la Llave,204,204 Agua Dulce,Total,50-54 años,2282,34,2244
30 Veracruz de Ignacio de la Llave,204,204 Agua Dulce,Total,55-59 años,1805,35,1766
30 Veracruz de Ignacio de la Llave,204,204 Agua Dulce,Total,60-64 años,1447,30,1415
30 Veracruz de Ignacio de la Llave,204,204 Agua Dulce,Total,65 años y más,3272,92,3176
30 Veracruz de Ignacio de la Llave,204,204 Agua Dulce,Hombres,03-04 años,821,0,813
30 Veracruz de Ignacio de la Llave,204,204 Agua Dulce,Hombres,05-09 años,2111,3,2097
30 Veracruz de Ignacio de la Llave,204,204 Agua Dulce,Hombres,10-14 años,2263,3,2253
30 Veracruz de Ignacio de la Llave,204,204 Agua Dulce,Hombres,15-19 años,2154,3,2149
30 Veracruz de Ignacio de la Llave,204,204 Agua Dulce,Hombres,20-24 años,1737,5,1729
30 Veracruz de Ignacio de la Llave,204,204 Agua Dulce,Hombres,25-29 años,1570,7,1558
30 Veracruz de Ignacio de la Llave,204,204 Agua Dulce,Hombres,30-34 años,1407,9,1397
30 Veracruz de Ignacio de la Llave,204,204 Agua Dulce,Hombres,35-39 años,1413,8,1400
30 Veracruz de Ignacio de la Llave,204,204 Agua Dulce,Hombres,40-44 años,1544,10,1534
30 Veracruz de Ignacio de la Llave,204,204 Agua Dulce,Hombres,45-49 años,1231,14,1215
30 Veracruz de Ignacio de la Llave,204,204 Agua Dulce,Hombres,50-54 años,1103,21,1081
30 Veracruz de Ignacio de la Llave,204,204 Agua Dulce,Hombres,55-59 años,904,23,878
30 Veracruz de Ignacio de la Llave,204,204 Agua Dulce,Hombres,60-64 años,688,14,673
30 Veracruz de Ignacio de la Llave,204,204 Agua Dulce,Hombres,65 años y más,1588,45,1542
30 Veracruz de Ignacio de la Llave,204,204 Agua Dulce,Mujeres,03-04 años,764,2,751
